0,18510.187500
1,18351.400391
2,18193.017578
3,18030.638672
4,17866.054688
5,17698.125000
6,17528.642578
7,17351.406250
8,17173.068359
9,17000.171875
10,16825.646484
11,16650.085938
12,16473.812500
13,16296.900391
14,16123.763672
15,15949.857422
16,15775.919922
17,15601.551758
18,15426.860352
19,15252.199219
20,15076.795898
21,14903.213867
22,14729.634766
23,14555.773438
24,14380.315430
25,14203.938477
26,14026.295898
27,13847.253906
28,13667.949219
29,13488.499023
30,13308.769531
31,13128.893555
32,12948.868164
33,12768.697266
34,12588.464844
35,12408.268555
36,12227.934570
37,12047.577148
38,11867.175781
39,11686.385742
40,11504.651367
41,11322.641602
42,11140.312500
43,10957.583984
44,10774.618164
45,10591.332031
46,10407.778320
47,10224.110352
48,10040.239258
49,9856.180664
50,9675.420898
51,9503.840820
52,9333.358398
53,9163.711914
54,8994.301758
55,8825.384766
56,8656.340820
57,8488.084961
58,8321.093750
59,8153.166016
60,7985.224609
61,7818.908203
62,7654.836914
63,7491.960449
64,7330.343262
65,7170.229492
66,7011.661133
67,6854.847168
68,6700.009766
69,6547.274902
70,6397.395508
71,6249.471191
72,6104.755371
73,5962.373047
74,5823.731445
75,5687.919922
76,5556.194824
77,5427.848633
78,5303.808594
79,5183.770508
80,5068.330566
81,4957.392578
82,4851.871094
83,4752.050781
84,4658.056641
85,4569.868164
86,4487.561523
87,4410.474609
88,4339.875977
89,4276.010742
90,4219.075195
91,4169.161133
92,4126.415039
93,4091.047852
94,4063.175293
95,4042.529297
96,4030.352295
97,4023.643311
98,4022.188477
99,4024.000244
